,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
9,44,14,coulthard,9,11,11,+1 Lap,94466,179615,264124,348481,432855,516871,602253,689121,773437.0,857607.0,941905.0,1025944.0,1109814.0,1193952.0,1278195.0,1362067.0,1445737.0,1529542.0,1613424.0,1697739.0,1781977.0,1865883.0,1949910.0,2034172.0,2117903.0,2207312.0,2314229.0,2398354.0,2483704.0,2569221.0,2653098.0,2736976.0,2821402.0,2906566.0,2990693.0,3074504.0,3158477.0,3242150.0,3325747.0,3408865.0,3492687.0,3576031.0,3659304.0,3743370.0,3831997.0,3938017.0,4022273.0,4106544.0,4190557.0,4274545.0,4360454.0,4445422.0,4529862.0,4613688.0,4697565.0,4781032.0,4864721.0,4948494.0,
20,44,26,speed,5,19,3,Accident,95011,180953,266778,351451,436890,521681,606085,691051,775896.0,860597.0,945313.0,1029544.0,1113544.0,1197678.0,1281789.0,1366650.0,1450474.0,1534165.0,1617735.0,1701560.0,1785306.0,1868931.0,1952598.0,2036272.0,2124655.0,2232626.0,2317939.0,2403361.0,2489318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,44,25,wurz,3,13,11,+1 Lap,95385,182161,267574,353013,437974,522989,607550,692344,777067.0,861878.0,946602.0,1030798.0,1115115.0,1199245.0,1283487.0,1367796.0,1452430.0,1536752.0,1621101.0,1704975.0,1789026.0,1872907.0,1956309.0,2039686.0,2123122.0,2211632.0,2318468.0,2403874.0,2489753.0,2579463.0,2663803.0,2749022.0,2833560.0,2918154.0,3003603.0,3088999.0,3173861.0,3259832.0,3344003.0,3428346.0,3512614.0,3602045.0,3707116.0,3790572.0,3873931.0,3957053.0,4040571.0,4123697.0,4206865.0,4289851.0,4373620.0,4456601.0,4539712.0,4622744.0,4705956.0,4788901.0,4871594.0,4954656.0,
2,44,3,rosberg,3,12,11,+1 Lap,95652,181085,264670,348764,433297,517426,603366,689368,773833.0,858122.0,942301.0,1026439.0,1110115.0,1194407.0,1283718.0,1391566.0,1475655.0,1560453.0,1645995.0,1730630.0,1815103.0,1899550.0,1984025.0,2068432.0,2152674.0,2237057.0,2321710.0,2406628.0,2492218.0,2577603.0,2663261.0,2748392.0,2832892.0,2917635.0,3002513.0,3088512.0,3173343.0,3264257.0,3369346.0,3452553.0,3535918.0,3619260.0,3702599.0,3785728.0,3869047.0,3952283.0,4035586.0,4118874.0,4201770.0,4284864.0,4367924.0,4450967.0,4534465.0,4617428.0,4700491.0,4783476.0,4866404.0,4949770.0,
18,44,24,liuzzi,5,16,6,Gearbox,96800,183330,269781,355068,440259,525262,610016,694844,779558.0,864433.0,949200.0,1033437.0,1117795.0,1202070.0,1286096.0,1370542.0,1454808.0,1539123.0,1623485.0,1707798.0,1791545.0,1875797.0,1960068.0,2049346.0,2157900.0,2242169.0,2328227.0,2414264.0,2498752.0,2583690.0,2668436.0,2754736.0,2840130.0,2924525.0,3009098.0,3093890.0,3178775.0,3263599.0,3348129.0,3432500.0,3516766.0,3601291.0,3685418.0,3776440.0,3883366.0,3966994.0,4050781.0,4134842.0,4218688.0,4302689.0,4386554.0,4470202.0,4553881.0,,,,,,
16,44,22,barrichello,11,9,11,+1 Lap,97225,184306,270571,356147,441655,527134,612405,697641,782450.0,867418.0,952327.0,1036927.0,1121470.0,1205932.0,1290525.0,1374775.0,1458840.0,1542922.0,1626943.0,1711029.0,1794725.0,1878749.0,1962729.0,2046740.0,2130459.0,2214162.0,2297854.0,2381241.0,2464976.0,2548552.0,2637721.0,2747263.0,2832104.0,2916859.0,3001909.0,3087997.0,3172745.0,3258640.0,3343368.0,3427778.0,3511961.0,3596209.0,3680339.0,3764241.0,3847951.0,3931929.0,4016038.0,4100034.0,4184098.0,4268196.0,4352598.0,4436820.0,4521108.0,4605210.0,4689541.0,4773505.0,4857267.0,4941373.0,
13,44,18,button,11,10,11,+1 Lap,97609,185018,271360,357419,443424,528992,614592,699924,785158.0,870663.0,955835.0,1040583.0,1125447.0,1210527.0,1295375.0,1379697.0,1463853.0,1548117.0,1632234.0,1716211.0,1800374.0,1884614.0,1968734.0,2053039.0,2136887.0,2220739.0,2304753.0,2388611.0,2472192.0,2555961.0,2639667.0,2723372.0,2812140.0,2922055.0,3007419.0,3092202.0,3177336.0,3262526.0,3347279.0,3431723.0,3516134.0,3600668.0,3684795.0,3769136.0,3853440.0,3937517.0,4021880.0,4105971.0,4189958.0,4274061.0,4360164.0,4445099.0,4529310.0,4612980.0,4696691.0,4780372.0,4864165.0,4947851.0,
14,44,19,davidson,8,18,26,Mechanical,98114,186028,272299,358143,444054,529728,615356,700818,786125.0,871576.0,957155.0,1042101.0,1127063.0,1212013.0,1296761.0,1381511.0,1466330.0,1551135.0,1635671.0,1720511.0,1805511.0,1890125.0,1974613.0,2058979.0,2143239.0,2227383.0,2311917.0,2397322.0,2483085.0,2573927.0,3206106.0,3291063.0,3375747.0,3462804.0,3553995.0,,,,,,,,,,,,,,,,,,,,,,,,
8,44,13,massa,6,5,1,Finished,98185,183440,267725,351741,435038,517817,602574,687702,769773.0,851883.0,933777.0,1015227.0,1096493.0,1177825.0,1259127.0,1340292.0,1421150.0,1502139.0,1583217.0,1670399.0,1777820.0,1861389.0,1944914.0,2028951.0,2112310.0,2195529.0,2279034.0,2362269.0,2445213.0,2528243.0,2611745.0,2695121.0,2778386.0,2862097.0,2946639.0,3028628.0,3111082.0,3194379.0,3276660.0,3358621.0,3441364.0,3523419.0,3605386.0,3687253.0,3775288.0,3878829.0,3960996.0,4043753.0,4127693.0,4210554.0,4293752.0,4377759.0,4460594.0,4543657.0,4626473.0,4708912.0,4791494.0,4873944.0,4957137.0
11,44,16,sutil,12,21,5,Engine,98895,187175,273737,359911,445832,531469,617217,703239,788464.0,874139.0,959258.0,1044346.0,1129552.0,1214855.0,1299904.0,1384919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,44,27,albers,12,15,12,+2 Laps,99245,187649,274494,360820,446735,532534,618225,704232,790241.0,875656.0,961001.0,1046043.0,1131304.0,1216461.0,1301369.0,1385997.0,1470683.0,1555255.0,1640172.0,1724857.0,1809517.0,1894256.0,1984680.0,2092456.0,2177470.0,2262374.0,2347261.0,2432099.0,2516978.0,2601970.0,2688496.0,2773231.0,2859878.0,2946994.0,3031972.0,3117317.0,3202223.0,3287102.0,3377849.0,3487339.0,3572735.0,3657855.0,3744941.0,3831198.0,3917325.0,4002554.0,4087754.0,4172923.0,4258007.0,4343303.0,4427941.0,4512750.0,4597557.0,4682360.0,4766863.0,4851253.0,4936191.0,,
