,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
10,219740.0,11,11,10,10,10,10,10,10,10,9,8,8,7,9,15,14,12,11,10,10,10,10,10,10,10,10,9,9,9,13,14,13,13,13,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10
11,220224.0,12,12,12,12,12,11,11,11,11,10,9,9,8,7,5,3,6,13,12,12,12,12,12,12,11,11,10,10,10,8,8,7,7,8,8,8,9,13,13,13,13,12,12,12,13,13,11,11,11,11,10,9,9,9,9,9
12,220844.0,13,13,13,13,13,13,13,13,13,13,12,13,18,18,18,18,20,20,19,19,17,17,17,17,17,16,16,16,16,16,16,16,17,19,19,19,19,18,18,17,16,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14
13,221522.0,14,14,14,14,14,14,14,14,12,12,11,10,10,10,8,8,7,9,14,14,14,14,14,14,14,13,12,12,13,14,15,15,15,15,14,14,13,12,12,12,12,13,14,14,14,14,12,12,12,12,12,12,12,12,12,12
14,222294.0,15,15,15,16,16,16,16,17,16,15,14,12,12,12,12,12,17,17,17,15,15,15,15,15,15,14,14,15,15,15,12,12,11,11,15,16,16,15,15,15,15,15,15,15,15,15,14,14,13,13,13,13,13,13,13,13
15,223118.0,16,17,17,17,17,17,17,16,14,14,13,11,11,11,10,10,16,15,13,13,13,13,13,13,12,12,11,11,11,10,11,11,9,10,10,10,14,14,14,14,14,14,13,13,12,12,13,13,15,15,17,17,17,17,17,0
16,222624.0,17,16,16,15,15,15,15,15,15,17,20,18,17,17,17,16,13,12,11,11,11,11,11,11,13,15,15,14,14,12,10,9,8,7,7,7,7,6,6,6,7,7,7,7,6,6,6,6,6,6,5,5,5,4,3,3
17,224610.0,18,19,19,19,19,19,19,19,18,16,15,15,15,15,14,15,14,14,16,18,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,15,15,16,16,16,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,0
18,225341.0,19,20,20,20,20,20,20,20,20,18,17,17,16,16,16,17,15,16,15,17,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,19,19,19,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,0
19,224091.0,20,18,18,18,18,18,18,18,19,19,22,21,21,20,19,19,18,18,18,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,18,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,0
20,228646.0,21,22,23,23,23,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,23,23,23,23,23,23,23,23,23,23,22,0,0
21,228220.0,22,21,21,21,21,21,21,21,21,20,18,19,19,19,20,21,22,22,22,22,21,21,20,20,20,20,20,20,21,21,21,21,21,21,20,20,20,20,20,23,23,23,23,22,22,22,22,22,21,21,21,21,21,21,0,0
22,229181.0,23,23,22,22,22,22,22,22,22,21,19,20,20,21,21,20,19,19,20,20,22,22,22,21,21,21,21,21,20,20,20,20,20,20,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
23,229998.0,24,24,24,24,24,24,24,24,23,22,21,22,22,22,22,22,21,21,21,21,20,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,22,22,22,22,22,23,0,0
