,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
14,913.0,818.0,vergne,6.0,1.0,Finished,125944.0,242328.0,357681.0,473192.0,588761.0,704184.0,819318.0,934954.0,1050456.0,1166295.0,1289088.0,1423217.0,1536211.0,1651427.0,1765638.0,1879319.0,1993114.0,2107383.0,2222252.0,2336941.0,2452224.0,2567664.0,2682921.0,2805586.0,2944545.0,3056762.0,3169542.0,3281965.0,3394819.0,3507878.0,3665307.0,3823014.0,3958635.0,4115772.0,4279440.0,4438522.0,4591939.0,4708591.0,4824061.0,4938782.0,5053539.0,5168857.0,5283648.0,5405608.0,5538321.0,5650358.0,5762334.0,5874271.0,5986687.0,6099551.0,6213634.0,6328458.0,6444449.0,6558417.0,6674218.0,6791495.0,6909288.0,7026857.0,7142266.0,7256596.0
10,913.0,807.0,hulkenberg,9.0,1.0,Finished,126623.0,243452.0,359123.0,474889.0,590598.0,706136.0,821658.0,938490.0,1062558.0,1197140.0,1310622.0,1424556.0,1539206.0,1653765.0,1769387.0,1883989.0,1998659.0,2112938.0,2227507.0,2342622.0,2457594.0,2573075.0,2688940.0,2804742.0,2929195.0,3061998.0,3174760.0,3288331.0,3401604.0,3515123.0,3681550.0,3851923.0,3969573.0,4118640.0,4281756.0,4441288.0,4593701.0,4710327.0,4826074.0,4941258.0,5056345.0,5172360.0,5287705.0,5401717.0,5516211.0,5631559.0,5746325.0,5861282.0,5976053.0,6091224.0,6207202.0,6323537.0,6439751.0,6556615.0,6673848.0,6791197.0,6908874.0,7027666.0,7147642.0,7266456.0
16,913.0,821.0,gutierrez,20.0,10.0,Electrical,127450.0,244204.0,360155.0,476474.0,592719.0,708403.0,824559.0,941021.0,1057684.0,1174848.0,1292321.0,1411682.0,1531089.0,1651357.0,1781301.0,1925995.0,2054925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,913.0,815.0,perez,7.0,1.0,Finished,128088.0,244819.0,360878.0,477089.0,593442.0,709511.0,825473.0,941919.0,1058448.0,1175449.0,1292904.0,1409527.0,1526441.0,1645621.0,1770239.0,1905978.0,2021618.0,2136032.0,2251444.0,2366839.0,2482939.0,2599530.0,2716346.0,2832439.0,2948276.0,3065029.0,3180731.0,3296063.0,3419694.0,3580245.0,3780678.0,3944286.0,4104759.0,4237795.0,4354745.0,4470484.0,4596023.0,4715385.0,4830388.0,4944945.0,5059888.0,5175441.0,5291313.0,5414537.0,5546668.0,5658675.0,5772847.0,5887887.0,6000242.0,6112598.0,6225222.0,6338097.0,6451476.0,6565908.0,6683892.0,6799637.0,6913680.0,7028995.0,7146811.0,7263833.0
9,913.0,154.0,grosjean,13.0,1.0,Finished,128571.0,245344.0,361504.0,477426.0,594062.0,710070.0,826116.0,942501.0,1059137.0,1182866.0,1318948.0,1434704.0,1549289.0,1663964.0,1780164.0,1895201.0,2010003.0,2124829.0,2239690.0,2354454.0,2469443.0,2592665.0,2726003.0,2839871.0,2953414.0,3067140.0,3181081.0,3296475.0,3413085.0,3539429.0,3717423.0,3852928.0,3972119.0,4119983.0,4283631.0,4442389.0,4594109.0,4713792.0,4828930.0,4943363.0,5059020.0,5174233.0,5290774.0,5406682.0,5521322.0,5636148.0,5751327.0,5866355.0,5981619.0,6096811.0,6213194.0,6330247.0,6447973.0,6565097.0,6684065.0,6801433.0,6919262.0,7036814.0,7154002.0,7272824.0
6,913.0,16.0,sutil,19.0,34.0,Water pressure,128933.0,246205.0,362902.0,479014.0,595122.0,711454.0,828662.0,954932.0,1089805.0,1203753.0,1320131.0,1439471.0,1556259.0,1671700.0,1786832.0,1902528.0,2018055.0,2133279.0,2248742.0,2364902.0,2481316.0,2597597.0,2714213.0,2839228.0,2975541.0,3090402.0,3206243.0,3323438.0,3439230.0,3569877.0,3738635.0,3881443.0,4003087.0,4123865.0,4284784.0,4443646.0,4594472.0,4710711.0,4826490.0,4949019.0,,,,,,,,,,,,,,,,,,,,
11,913.0,813.0,maldonado,12.0,1.0,Finished,129292.0,246654.0,363519.0,479710.0,595794.0,712233.0,828766.0,945080.0,1063558.0,1179908.0,1303495.0,1440024.0,1556599.0,1672347.0,1787612.0,1903073.0,2018642.0,2134034.0,2249322.0,2365404.0,2481960.0,2598545.0,2722779.0,2856323.0,2971492.0,3084705.0,3198261.0,3312476.0,3426145.0,3556836.0,3741731.0,3882189.0,4004159.0,4124373.0,4285999.0,4444568.0,4594975.0,4712073.0,4827331.0,4942487.0,5058337.0,5173517.0,5290523.0,5405513.0,5519888.0,5635260.0,5750135.0,5865073.0,5980073.0,6095215.0,6212077.0,6327649.0,6446405.0,6563460.0,6682434.0,6800887.0,6917950.0,7035463.0,7153140.0,7271710.0
18,913.0,824.0,jules_bianchi,16.0,1.0,Finished,130270.0,248658.0,365905.0,482953.0,600658.0,718044.0,835029.0,952492.0,1069907.0,1187474.0,1304870.0,1423009.0,1542059.0,1660763.0,1787263.0,1926050.0,2042142.0,2158599.0,2274724.0,2391044.0,2506884.0,2622917.0,2738953.0,2855311.0,2973072.0,3089341.0,3205602.0,3324711.0,3442102.0,3581179.0,3778215.0,3943258.0,4104033.0,4237024.0,4353807.0,4469237.0,4595495.0,4714845.0,4832613.0,4949438.0,5065550.0,5181954.0,5298779.0,5415277.0,5539415.0,5675009.0,5788547.0,5903327.0,6018101.0,6132469.0,6247544.0,6362593.0,6477808.0,6594155.0,6711440.0,6828470.0,6946055.0,7064661.0,7181827.0,7299338.0
21,913.0,828.0,ericsson,15.0,1.0,Finished,130885.0,249928.0,368683.0,486851.0,605112.0,722869.0,841447.0,959910.0,1078335.0,1196906.0,1318337.0,1446014.0,1583625.0,1699041.0,1815687.0,1932776.0,2049506.0,2166070.0,2282945.0,2400278.0,2517345.0,2634731.0,2753695.0,2871334.0,2988901.0,3106748.0,3224026.0,3341661.0,3462100.0,3612225.0,3793828.0,3948090.0,4109866.0,4244675.0,4365153.0,4484800.0,4603156.0,4719981.0,4836057.0,4953193.0,5069738.0,5185965.0,5302046.0,5418645.0,5535497.0,5653109.0,5770206.0,5890586.0,6008207.0,6125263.0,6242298.0,6358986.0,6476070.0,6593565.0,6710844.0,6828066.0,6945306.0,7063042.0,7180759.0,7298983.0
15,913.0,820.0,chilton,17.0,11.0,+1 Lap,131491.0,251452.0,370328.0,489364.0,608325.0,726600.0,845227.0,963697.0,1082076.0,1201226.0,1322055.0,1442407.0,1561635.0,1681155.0,1801135.0,1929065.0,2067298.0,2197598.0,2345673.0,2462596.0,2579850.0,2697925.0,2817302.0,2935615.0,3053330.0,3174466.0,3293284.0,3411234.0,3534310.0,3700479.0,3829889.0,3963071.0,4117000.0,4259488.0,4380285.0,4498745.0,4617298.0,4735898.0,4854346.0,4972406.0,5099649.0,5238013.0,5351820.0,5467271.0,5582644.0,5698456.0,5814489.0,5931840.0,6048232.0,6163654.0,6279363.0,6396352.0,6513357.0,6630307.0,6747133.0,6866961.0,6985007.0,7107514.0,7226131.0,
2,913.0,3.0,rosberg,21.0,10.0,Electrical,132215.0,251755.0,370828.0,488841.0,605610.0,723267.0,841844.0,960453.0,1078749.0,1198194.0,1318749.0,1438905.0,1564188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
